,Entity,superregion2,iso3,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total carbohydrates,Total protein,Saturated fat,Monounsaturated fatty acids,Total omega-6 fat,Seafood omega-3 fat,Plant omega-3 fat,Dietary fiber,Added sugars,Calcium,Dietary sodium,Iodine,Iron,Magnesium,Potassium,Selenium,Vitamin A w/ supplements,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Zinc,Total Milk,Year,Diabetes prevalence (% of population ages 20 to 79),Continent,ObesityRate,Population (2021),Gross National Income Per Capita (2021),Unit,Supply_ All food groups,Supply_ All food groups (excluding beverages),Supply_ Cereals and their products,"Supply_ Roots, tubers, plantains and their products","Supply_ Pulses, seeds and nuts and their products",Supply_ Milk and milk products,Supply_ Eggs and their products,"Supply_ Fish, shellfish and their products",Supply_ Meat and meat products,Supply_ Vegetables and their products,Supply_ Fruits and their products,Supply_ Fats and oils,Supply_ Sweets and sugars,Supply_ Spices and condiments,Supply_ Beverages,Supply_ Foods for particular nutritional uses,Supply_ Miscellaneous
1,Afghanistan,SAARC,AFG,65.69703615,98.08012358,21.19580844,44.89214012,103.8302662,31.20569454,223.1689052,41.52892374,2.238317047,8.686127459,3.2336828,8.141982785,0.585793027,10.29935146,88.6900862,3.953438972,0.561111583,1.721834029,67.47612794,59.15027415,7.489211353,5.013864993,2.620292134,2.506398932,933.0714897,45.80006058,11.66828982,436.6414141,3146.327266,80.68762888,18.45300462,240.378416,1994.964692,79.02180415,265.1418297,1.042921305,0.959873474,13.50611355,1.104236833,190.3951132,1.799364518,42.12684502,1.59451871,6.426412858,7.64469128,69.78519309,2021,10.9,Asia,18.19,40099462,1824.190915,kcal/cap/d,2198,4395,1511,39,39,85,9,1,48,27,76,222,134,3,1,0,1
2,Angola,SSA,AGO,119.7469802,308.8370045,346.3771088,52.66248194,37.79955695,11.61224574,223.8385038,57.59240311,1.834424198,17.95686127,37.97074591,0.77033938,1.695527602,10.72828868,212.2634035,17.04172057,0.665024562,0.545736021,60.1151303,37.81454413,10.66358782,10.13957809,2.688231828,125.3158418,736.6102828,28.36615811,4.786471567,444.4667908,1997.188393,54.76931336,16.6935201,303.3588515,2624.151832,98.97376276,1124.851831,1.060152158,1.295925647,13.45825159,1.674145488,266.2965336,2.385506978,179.5006219,1.717556139,7.970199909,7.274286307,32.78413243,2021,4.6,Africa,11.11,34503774,5465.617791,kcal/cap/d,2391,4696,696,810,114,16,0,28,106,14,112,267,135,0,85,4,2
3,Albania,FSU,ALB,138.8743604,129.0837569,185.7836322,73.03169385,40.18136125,12.2727712,252.8140176,31.2137724,73.43706788,67.94653918,18.31729198,87.37300062,16.68135872,82.86683193,925.5667419,25.73225186,0.70545743,0.700919466,50.32013952,66.66304085,12.11315643,15.0386088,2.469626099,150.6805617,509.642282,30.34304908,32.5024166,851.2077737,3273.055889,112.6067947,8.053307443,296.2691346,3078.152887,24.27789105,2685.170024,1.116424762,1.65071558,29.57722679,2.299154205,269.5935472,3.877962479,128.6733753,5.06367656,15.17179846,7.99507489,113.7397847,2021,10.2,Europe,22.69,2854710,14131.11039,kcal/cap/d,3399,6715,921,87,104,629,66,16,263,211,393,297,308,2,83,1,19
4,United Arab Emirates,MENA,ARE,107.5778198,123.2847466,182.9722871,57.0681256,40.56380729,31.72937947,337.6422986,37.1762837,38.36956523,29.41857219,40.51083749,29.83012991,20.24193924,64.53317482,132.651374,24.49347538,1.094850649,0.885818203,58.2265815,80.11117824,8.878761678,10.53597648,2.439849108,11.62543795,1533.777501,14.32031792,7.650388724,597.0735412,3047.268355,106.4436814,17.77039806,290.6251908,2120.099143,98.63862649,331.8175499,1.288473726,1.665489038,23.53275654,1.363786022,419.5965409,3.07217436,84.86584023,2.197133189,7.379017803,8.514326309,129.185734,2021,16.4,Asia,32.02,9365145,62573.59181,kcal/cap/d,3307,6577,1074,64,261,173,24,48,353,106,176,718,223,34,36,6,9
5,Argentina,LAC,ARG,93.99578731,123.8032761,51.33612212,7.010755049,3.575009165,1.564768609,174.3276946,10.81313739,24.18177638,87.92704649,11.59258981,30.11471027,32.41400701,38.994038,203.030144,11.00135065,0.232476047,0.56087714,49.46213362,76.57756707,11.2844193,11.01238018,2.659091694,106.3322891,436.9207098,11.93889112,11.67932895,636.9346965,1676.143778,171.034014,13.29316653,185.6280534,1640.329481,105.0011467,815.86275,1.169528805,1.426035253,18.26230235,1.225320012,440.6974907,4.255942128,53.51660456,2.608307078,8.42458342,9.163603085,136.4382753,2021,5.4,South America,34.37,45276780,20925.26814,kcal/cap/d,3341,6558,976,90,114,267,59,11,601,52,91,552,400,3,125,NULL,NULL
6,Armenia,FSU,ARM,91.23436362,95.93209657,48.16628389,95.70912777,14.70799824,18.90433617,219.7824403,23.30186123,105.8830319,65.19554157,47.9030541,39.85143751,18.9386006,93.91931576,66.83861667,26.15225509,2.572961688,0.679728445,51.20954561,102.4270377,11.69839066,19.81366124,2.545209465,150.0140784,619.6953692,35.05787661,11.3776694,856.0033518,2869.029686,102.0615193,12.57322784,337.6352425,3836.71914,23.51215108,1357.95017,1.399260645,1.615943952,20.52615446,1.819764526,298.7291854,3.8211342,121.7923259,4.129284593,16.98993693,12.95299134,73.41175232,2021,5.6,Asia,24.08,2790974,13157.9939,kcal/cap/d,3217,6364,1086,120,60,421,48,12,324,128,169,404,354,2,70,1,18
7,Antigua and Barbuda,LAC,ATG,95.49188023,232.0986639,33.86135052,52.43747816,43.49963319,2.518916311,158.4371783,14.31763861,40.50034774,31.85380687,46.47583949,18.64594907,9.167658688,18.24925718,363.237079,20.49271658,0.293616076,0.637358992,56.87087604,96.26198026,9.589981375,8.131891702,2.677164054,763.3086733,947.2010262,25.45168521,14.22848957,798.053223,2379.777783,133.9054166,11.94567412,189.5545866,1812.098094,114.2823623,798.2656251,1.099456058,1.259022836,16.32214847,1.133229024,236.7968235,3.059730161,65.56389147,3.39287808,14.98454667,9.810856538,104.796462,2021,11.7,North America,32.57,93219,16792.36595,kcal/cap/d,2409,4622,589,52,23,176,23,98,349,28,150,401,294,5,197,1,23
8,Australia,HIC,AUS,131.9189991,116.7912227,92.2599759,14.00652723,23.18500479,7.380980613,100.587985,64.89062927,16.16070915,57.88159155,28.57537554,24.20385129,37.04955799,60.65269361,112.7597171,49.61368585,0.71337772,0.48904964,46.47306597,73.70252874,12.92499766,12.44984025,2.654443071,560.7092757,1456.546902,19.35964354,9.219394432,673.9313446,2616.956434,172.1557864,12.9195719,298.2794542,2778.956545,85.97128251,801.6008249,1.158833354,1.893371732,21.48016473,1.674879724,226.8590152,4.639235893,82.76192224,3.932661064,8.631720401,11.94439201,204.8294738,2021,6.4,Oceania,29.75,25921089,49238.43335,kcal/cap/d,3454,6598,626,98,198,371,30,40,466,67,103,658,431,8,311,0,47
9,Austria,HIC,AUT,105.7322006,118.4419156,71.3068058,26.29675594,6.425365682,5.389814055,22.89394898,29.16800285,56.31431939,104.970007,21.05203224,24.13378047,34.93446345,61.69427147,101.0571777,25.74225621,1.196578849,0.375186439,46.61049621,61.68514531,16.31047991,13.4518332,2.826529886,398.6858417,1204.704162,22.04315924,11.17282808,743.6106644,3030.656124,202.0586363,13.78000868,288.396765,3082.698963,90.95111608,884.0243407,1.300312101,1.772350404,20.90679181,1.762792282,248.049239,4.608575366,96.88898565,3.952347396,8.414244981,9.79454485,116.8229294,2021,4.6,Europe,15.2,8922082,53618.67138,kcal/cap/d,3819,7397,901,90,123,397,50,26,339,77,111,1069,385,10,240,0,0
10,Azerbaijan,FSU,AZE,104.8183883,77.6902062,104.855944,42.47582484,14.55443818,32.69946834,300.7824917,46.88774313,100.0912785,95.91943797,22.28846677,39.93572826,31.79759462,30.08498663,52.26076023,33.2416262,0.929287034,1.123856052,52.80501148,101.8570184,9.152510387,21.49569802,2.461282696,68.11731464,502.9330444,17.91725308,1.582489685,789.3182551,2686.088972,93.71020072,14.95969773,356.1317678,3669.979914,24.8078206,523.4469279,1.604086679,1.57287988,18.16727571,1.741823238,288.7750297,3.708788349,104.5904791,3.747397805,7.751557808,16.8162282,90.98687289,2021,5.6,Asia,26.02,10312992,14256.74456,kcal/cap/d,3384,6555,1517,145,63,283,32,4,200,109,135,377,293,1,213,2,10
